Previous_Crop,Soil_Type,State,Recommended_Crop,Alternative_Crop,Reason
Wheat,Clayey,West Bengal,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Potato,Red,West Bengal,Groundnut,Green Gram,Legume-based nutrient restoration and pest cycle break
Maize,Black,Odisha,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Uttar Pradesh,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,Tamil Nadu,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Tamil Nadu,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Odisha,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Punjab,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Black,Uttar Pradesh,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Groundnut,Clayey,Odisha,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Rice,Black,Maharashtra,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Potato,Red,Odisha,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Uttar Pradesh,Lentil,Potato,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,Uttar Pradesh,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,Tamil Nadu,Maize,Green Gram,Legume-based nutrient restoration and pest cycle break
Potato,Black,Maharashtra,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Tamil Nadu,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Rice,Alluvial,Odisha,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Maharashtra,Soybean,Groundnut,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,Tamil Nadu,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Odisha,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Uttar Pradesh,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Red,Uttar Pradesh,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,West Bengal,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Green Gram,Laterite,Maharashtra,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,Odisha,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,West Bengal,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Odisha,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,Maharashtra,Wheat,Potato,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Uttar Pradesh,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,Punjab,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Green Gram,Red,Maharashtra,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Maharashtra,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Uttar Pradesh,Groundnut,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Maharashtra,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Soybean,Black,Tamil Nadu,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Potato,Black,Tamil Nadu,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,West Bengal,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Red,Tamil Nadu,Groundnut,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Odisha,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Odisha,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Maharashtra,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Wheat,Red,Uttar Pradesh,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Tamil Nadu,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Cowpea,Red,Odisha,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,Tamil Nadu,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Punjab,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Maize,Red,Odisha,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Rice,Red,West Bengal,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Rice,Alluvial,West Bengal,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Maize,Black,Odisha,Soybean,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Odisha,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,Tamil Nadu,Groundnut,Cowpea,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Odisha,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Odisha,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,Odisha,Soybean,Chickpea,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,Tamil Nadu,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Maharashtra,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Tamil Nadu,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Black Gram,Clayey,Odisha,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Lentil,Alluvial,Tamil Nadu,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Maize,Red,Punjab,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Lentil,Red,Odisha,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Odisha,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Uttar Pradesh,Rice,Chickpea,Legume-based nutrient restoration and pest cycle break
Green Gram,Red,Odisha,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Tamil Nadu,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Punjab,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Maharashtra,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,Uttar Pradesh,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,Punjab,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,Maharashtra,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Potato,Black,West Bengal,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,West Bengal,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Maize,Black,West Bengal,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Punjab,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Lentil,Black,Maharashtra,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Tamil Nadu,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,Punjab,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Odisha,Pigeon Pea,Cotton,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Odisha,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Odisha,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Red,West Bengal,Cowpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Uttar Pradesh,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Odisha,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,West Bengal,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Odisha,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Odisha,Chickpea,Rice,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,Punjab,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Groundnut,Clayey,Uttar Pradesh,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Punjab,Maize,Mustard,Legume-based nutrient restoration and pest cycle break
Black Gram,Clayey,Tamil Nadu,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Odisha,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,Maharashtra,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Maharashtra,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Odisha,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Tamil Nadu,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Odisha,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,West Bengal,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Punjab,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,West Bengal,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Punjab,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Tamil Nadu,Groundnut,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,Tamil Nadu,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Lentil,Alluvial,Tamil Nadu,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,Punjab,Rice,Potato,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,Maharashtra,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Tamil Nadu,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Red,Tamil Nadu,Green Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Tamil Nadu,Wheat,Potato,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Uttar Pradesh,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,Tamil Nadu,Cowpea,Lentil,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Maharashtra,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,West Bengal,Wheat,Mustard,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Tamil Nadu,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,West Bengal,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Red,Punjab,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Odisha,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Rice,Alluvial,Punjab,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,West Bengal,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Rice,Red,Maharashtra,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Uttar Pradesh,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,Punjab,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Maharashtra,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Red,Maharashtra,Pigeon Pea,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Uttar Pradesh,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Punjab,Groundnut,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Tamil Nadu,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Maharashtra,Black Gram,Potato,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Uttar Pradesh,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Tamil Nadu,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Punjab,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Uttar Pradesh,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Odisha,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Tamil Nadu,Mustard,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Odisha,Potato,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,Punjab,Cowpea,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,Uttar Pradesh,Pigeon Pea,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Odisha,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Maharashtra,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,West Bengal,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Cowpea,Sandy,Tamil Nadu,Rice,Mustard,Legume-based nutrient restoration and pest cycle break
Maize,Red,West Bengal,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,Tamil Nadu,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Rice,Alluvial,Uttar Pradesh,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Tamil Nadu,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Uttar Pradesh,Chickpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,Uttar Pradesh,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Uttar Pradesh,Wheat,Mustard,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Tamil Nadu,Soybean,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,Punjab,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Uttar Pradesh,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,Tamil Nadu,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Punjab,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Uttar Pradesh,Potato,Rice,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,West Bengal,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Black Gram,Clayey,Tamil Nadu,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Punjab,Groundnut,Green Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,Uttar Pradesh,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Uttar Pradesh,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Maharashtra,Rice,Mustard,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Punjab,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,Punjab,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,West Bengal,Cowpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,West Bengal,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Tamil Nadu,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Potato,Red,Uttar Pradesh,Cowpea,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,Odisha,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Uttar Pradesh,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,Odisha,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Tamil Nadu,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Lentil,Red,Punjab,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Odisha,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Mustard,Red,Uttar Pradesh,Groundnut,Maize,Legume-based nutrient restoration and pest cycle break
Groundnut,Clayey,Odisha,Wheat,Potato,Legume-based nutrient restoration and pest cycle break
Cowpea,Red,Uttar Pradesh,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Uttar Pradesh,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Red,West Bengal,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,West Bengal,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Alluvial,Uttar Pradesh,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Mustard,Red,Maharashtra,Cowpea,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Uttar Pradesh,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,Uttar Pradesh,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Wheat,Black,Uttar Pradesh,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Maharashtra,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Punjab,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,West Bengal,Cowpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,Tamil Nadu,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,Odisha,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,Odisha,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,West Bengal,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Maharashtra,Chickpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Uttar Pradesh,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,West Bengal,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Tamil Nadu,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Maharashtra,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Odisha,Groundnut,Chickpea,Legume-based nutrient restoration and pest cycle break
Green Gram,Red,Tamil Nadu,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Maharashtra,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Maharashtra,Groundnut,Cowpea,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,West Bengal,Potato,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Odisha,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Uttar Pradesh,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,West Bengal,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Uttar Pradesh,Cowpea,Lentil,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Maharashtra,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Tamil Nadu,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Rice,Red,Maharashtra,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,West Bengal,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Odisha,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Punjab,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,West Bengal,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Odisha,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,Odisha,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,Punjab,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Cotton,Red,Odisha,Cowpea,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Soybean,Black,West Bengal,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Uttar Pradesh,Cowpea,Wheat,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Punjab,Groundnut,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Punjab,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Punjab,Wheat,Potato,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,West Bengal,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Tamil Nadu,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,Uttar Pradesh,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,Tamil Nadu,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,Uttar Pradesh,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,Uttar Pradesh,Groundnut,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Tamil Nadu,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Black Gram,Clayey,Uttar Pradesh,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Tamil Nadu,Rice,Chickpea,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Tamil Nadu,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Punjab,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Punjab,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Uttar Pradesh,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Punjab,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,Uttar Pradesh,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Maharashtra,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Odisha,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Uttar Pradesh,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Maharashtra,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,West Bengal,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Maharashtra,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Uttar Pradesh,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,Tamil Nadu,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,Tamil Nadu,Wheat,Potato,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,West Bengal,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Wheat,Red,West Bengal,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
